county,deaths,population
Alameda County,12,225298
Sacramento County,19,229694
San Joaquin County,13,119720
Stanislaus County,10,90051
Fresno County,19,170453
Santa Clara County,31,245692
San Mateo County,10,76677
Los Angeles County,193,1451177
Contra Costa County,19,137011
San Diego County,74,489974
Sonoma County,10,64250
San Francisco County,14,84295
Kern County,26,148180
Riverside County,65,366347
San Bernardino County,71,343471
Ventura County,24,115545
Orange County,100,460517
San Luis Obispo County,11,50003